t,x,theta,u
0.582,-0.738197,-0.249765,4.03584
0.583,-0.738718,-0.249423,4.03584
0.584,-0.739235,-0.249078,4.03584
0.585,-0.739749,-0.24873,4.03584
0.586,-0.74026,-0.248378,4.03584
0.587,-0.740766,-0.248023,4.03584
0.588,-0.741269,-0.247665,4.03584
0.589,-0.741769,-0.247303,4.03584
0.59,-0.742265,-0.246938,4.03584
0.591,-0.742758,-0.246569,4.03584
0.592,-0.743247,-0.246197,4.03584
0.593,-0.743732,-0.245822,4.03584
0.594,-0.744214,-0.245443,4.03584
0.595,-0.744693,-0.245061,4.03584
0.596,-0.745168,-0.244675,4.03584
0.597,-0.745639,-0.244285,4.03584
0.598,-0.746107,-0.243892,4.03584
0.599,-0.746572,-0.243496,4.03584
0.6,-0.747032,-0.243096,4.03584
0.601,-0.74749,-0.242692,4.03584
0.602,-0.747944,-0.242286,3.2588
0.603,-0.748395,-0.241879,3.2588
0.604,-0.748844,-0.241471,3.2588
0.605,-0.749289,-0.241061,3.2588
0.606,-0.749732,-0.240651,3.2588
0.607,-0.750173,-0.240239,3.2588
0.608,-0.75061,-0.239826,3.2588
0.609,-0.751045,-0.239412,3.2588
0.61,-0.751477,-0.238996,3.2588
0.611,-0.751906,-0.238579,3.2588
0.612,-0.752332,-0.238161,3.2588
0.613,-0.752756,-0.237742,3.2588
0.614,-0.753176,-0.237321,3.2588
0.615,-0.753594,-0.2369,3.2588
0.616,-0.75401,-0.236476,3.2588
0.617,-0.754422,-0.236052,3.2588
0.618,-0.754832,-0.235626,3.2588
0.619,-0.755239,-0.235198,3.2588
0.62,-0.755643,-0.234769,3.2588
0.621,-0.756044,-0.234339,3.2588
0.622,-0.756442,-0.233907,3.2588
0.623,-0.756838,-0.233474,3.2588
0.624,-0.757231,-0.23304,3.2588
0.625,-0.757621,-0.232604,3.2588
0.626,-0.758009,-0.232166,3.2588
0.627,-0.758393,-0.231727,3.2588
0.628,-0.758775,-0.231286,3.2588
0.629,-0.759154,-0.230844,3.2588
0.63,-0.75953,-0.2304,3.2588
0.631,-0.759903,-0.229954,3.2588
0.632,-0.760274,-0.229507,3.2588
0.633,-0.760642,-0.229058,3.2588
0.634,-0.761007,-0.228608,3.2588
0.635,-0.761369,-0.228156,3.2588
0.636,-0.761728,-0.227702,3.2588
0.637,-0.762085,-0.227246,3.2588
0.638,-0.762439,-0.226789,3.2588
0.639,-0.76279,-0.22633,3.2588
0.64,-0.763138,-0.225869,3.2588
0.641,-0.763483,-0.225407,3.2588
0.642,-0.763826,-0.224942,3.2588
0.643,-0.764165,-0.224476,3.2588
0.644,-0.764502,-0.224008,3.2588
0.645,-0.764836,-0.223538,3.2588
0.646,-0.765168,-0.223066,3.2588
0.647,-0.765496,-0.222593,3.2588
0.648,-0.765822,-0.222117,3.2588
0.649,-0.766145,-0.221639,3.2588
0.65,-0.766465,-0.22116,3.2588
0.651,-0.766782,-0.220678,3.2588
0.652,-0.767097,-0.220196,2.61737
0.653,-0.767409,-0.219713,2.61737
0.654,-0.76772,-0.219231,2.61737
0.655,-0.768028,-0.218748,2.61737
0.656,-0.768334,-0.218266,2.61737
